"status","country","zip_code","address","zip_code_latitude_wgs84","zip_code_longitude_wgs84","municipalities"
"OK","France","01340","01340 France",46.3339159878364,5.11914191544,"JAYAT|ATTIGNAT|ETREZ|MONTREVEL EN BRESSE|ST SULPICE|BEREZIAT|CRAS SUR REYSSOUZE|MARSONNAS|FOISSIAT|MALAFRETAZ|ST DIDIER D AUSSIAT"
"OK","France","01350","01350 France",45.8300126219333,5.75630169583778,"ANGLEFORT|BEON|CEYZERIEU|CRESSIN ROCHEFORT|CULOZ|VONGNES|FLAXIEU|LAVOURS|POLLIEU"
"OK","France","01360","01360 France",45.8498388893875,5.135871990495,"BALAN|BELIGNEUX|BRESSOLLES|LOYETTES"
"OK","France","01370","01370 France",46.2866537540571,5.33440638117714,"BENY|COURMANGOUX|MEILLONNAS|ST ETIENNE DU BOIS|VAL REVERMONT"
"OK","France","01380","01380 France",46.3136628451,4.96770129348714,"BOISSEY|BAGE LA VILLE|ST CYR SUR MENTHON|ST GENIS SUR MENTHON|BAGE LE CHATEL|DOMMARTIN|ST ANDRE DE BAGE"
"OK","France","01390","01390 France",45.9322153582375,4.9282736167425,"MIONNAY|MONTHIEUX|ST JEAN DE THURIGNEUX|CIVRIEUX|TRAMOYES|RANCE|ST ANDRE DE CORCY|ST MARCEL"
"OK","France","01400","01400 France",46.13817904517,4.989978730984,"CHATILLON SUR CHALARONNE|DOMPIERRE SUR CHALARONNE|ST GEORGES SUR RENON|CONDEISSIAT|CHANOZ CHATENAY|SANDRANS|L ABERGEMENT CLEMENCIAT|NEUVILLE LES DAMES|ROMANS|SULIGNAT"
"OK","France","01410","01410 France",46.29642353248,5.928416197008,"CHEZERY FORENS|LELEX|MIJOUX|LAJOUX|CHAMPFROMIER"
"OK","France","01420","01420 France",45.99485417134,5.789334001084,"CHANAY|CORBONOD|SURJOUX|LHOPITAL|SEYSSEL"
"OK","France","01430","01430 France",46.09935404671,5.540869334838,"CEIGNES|CHEVILLARD|LANTENAY|PEYRIAT|CONDAMINE|ST MARTIN DU FRENE|VIEU D IZENAVE|IZENAVE|MAILLAT|OUTRIAZ"
"OK","France","01440","01440 France",46.2508985632,5.22302249216,"VIRIAT"
"OK","France","01450","01450 France",46.116143811,5.4599879458,"LEYSSARD|BOLOZON|CHALLES LA MONTAGNE|LABALME|PONCIN|CERDON|MERIGNAT|ST ALBAN|SERRIERES SUR AIN"
"OK","France","01460","01460 France",46.1733952544429,5.55878143569714,"NURIEUX VOLOGNAT|BEARD GEOVREISSIAT|PORT|BRION|MONTREAL LA CLUSE|NANTUA"
"OK","France","01470","01470 France",45.80375983754,5.474375881018,"BENONCES|BRIORD|SEILLONNAZ|MONTAGNIEU|SERRIERES DE BRIORD"
"OK","France","01480","01480 France",46.0108356480333,4.79416997290333,"BEAUREGARD|CHALEINS|FRANS|MESSIMY SUR SAONE|ARS SUR FORMANS|FAREINS|VILLENEUVE|JASSANS RIOTTIER|SAVIGNEUX"
"OK","France","01500","01500 France",45.962370353375,5.33789177582125,"BETTANT|DOUVRES|ST DENIS EN BUGEY|AMBUTRIX|AMBRONAY|CHATEAU GAILLARD|AMBERIEU EN BUGEY|ST MAURICE DE REMENS"
"OK","France","01510","01510 France",45.8486522265545,5.63439959407455,"ARTEMARE|LA BURBANCHE|CHAVORNAY|ARMIX|CHEIGNIEU LA BALME|ORDONNAZ|PUGIEU|ST MARTIN DE BAVEL|ROSSILLON|TALISSIEU|VIRIEU LE GRAND"
"OK","France","01540","01540 France",46.2216266350667,4.97714982747667,"VONNAS|ST JULIEN SUR VEYLE|PERREX"
"OK","France","01550","01550 France",46.1510815711,5.91720071048667,"COLLONGES|POUGNY|FARGES"
"OK","France","01560","01560 France",46.4438345776583,5.1126127980825,"CURCIAT DONGALON|CORMOZ|COURTES|MANTENAY MONTLIN|ST JEAN SUR REYSSOUZE|VERNOUX|VESCOURS|ST NIZIER LE BOUCHOUX|ST TRIVIER DE COURTES|LESCHEROUX|ST JULIEN SUR REYSSOUZE|SERVIGNAT"
"OK","France","01570","01570 France",46.36150858565,4.8835078973775,"FEILLENS|VESINES|ASNIERES SUR SAONE|MANZIAT"
"OK","France","01580","01580 France",46.2403112038667,5.53986264327167,"IZERNORE|MATAFELON GRANGES|SAMOGNAT|SONTHONNAX LA MONTAGNE"
"OK","France","01590","01590 France",46.3318122156,5.65629007754667,"DORTAN|LAVANCIA EPERCY|CHANCIA"
"OK","France","01600","01600 France",45.9460279662111,4.80106699369889,"MASSIEUX|MISERIEUX|REYRIEUX|ST BERNARD|TOUSSIEUX|PARCIEUX|ST DIDIER DE FORMANS|STE EUPHEMIE|TREVOUX"
"OK","France","01630","01630 France",46.22064269082,5.971661129032,"ST JEAN DE GONVILLE|CHALLEX|ST GENIS POUILLY|PERON|SERGY"
"OK","France","01640","01640 France",46.0311008897,5.4211801212925,"L ABERGEMENT DE VAREY|ST JEAN LE VIEUX|JUJURIEUX|BOYEUX ST JEROME"
"OK","France","01660","01660 France",46.2197561272667,5.06185055507,"MEZERIAT|CHAVEYRIAT|VANDEINS"
